,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa and ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",External causes of morbidity and mortality,infectious and parasitic diseases,Neoplasms,Country
34,580.0,24.0,129.0,0.0,1143.0,624.0,482.0,18.0,33.0,150.0,37.0,1202.0,395.0,57.0,111.0,6954.0,555.0,Honduras
35,2375.5,35.0,414.5,5.5,6061.0,1049.5,514.5,228.5,115.5,424.5,36.0,574.5,180.5,57.0,99.0,18083.5,3854.0,Jamaica
36,244.83333333333337,94.08333333333333,265.91666666666663,5.0,836.1666666666665,185.41666666666669,180.41666666666666,27.916666666666668,40.083333333333336,84.58333333333333,7.0,45.91666666666667,37.83333333333333,314.0,33.08333333333333,3295.5,948.5833333333334,Martinique
37,112577.09999999999,4684.7,11138.3,87.0,162162.44999999998,55173.76666666666,61985.399999999994,2585.0166666666664,4833.25,22012.350000000002,1112.8333333333335,12976.216666666665,9388.983333333334,9908.9,16426.516666666666,660048.1,88494.33333333333,Mexico
38,12.333333333333332,1.0,3.0,0.0,35.88333333333333,13.0,6.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,2.0,43.833333333333336,18.166666666666664,Montserrat
39,2296.8333333333335,321.2333333333333,421.65,5.0,6436.083333333333,1890.0833333333335,2034.8166666666666,121.06666666666666,177.31666666666666,1871.3833333333332,84.58333333333334,1182.6833333333334,644.05,465.66666666666663,829.7833333333333,23656.85,3306.55,Nicaragua
40,1589.3166666666666,126.88333333333333,608.4833333333333,2.0,5379.333333333334,1787.7166666666665,933.0333333333334,138.1,140.16666666666666,786.7333333333332,81.33333333333333,522.8,475.6333333333333,699.9666666666667,540.5666666666666,19821.63333333333,3616.3666666666663,Panama
41,2969.7666666666664,340.83333333333337,516.2166666666667,9.2,7585.483333333334,2230.166666666667,1383.2833333333333,130.18333333333334,257.55,959.4666666666667,151.88333333333333,873.4333333333333,635.8166666666666,2721.4166666666665,1295.6666666666665,29970.733333333334,4758.333333333333,Paraguay
42,5156.133333333333,364.0,2226.216666666667,24.0,19014.883333333335,22762.9,7247.85,663.0,745.5,5305.583333333334,328.31666666666666,2487.2333333333336,1447.1,3349.9,2416.2,114128.13333333333,21014.8,Peru
43,3903.05,595.8333333333333,2667.5666666666666,7.5,7333.199999999999,2544.4666666666667,1318.8,250.58333333333334,212.91666666666663,1334.8833333333332,22.0,150.43333333333334,157.16666666666666,597.8166666666667,407.45000000000005,30791.11666666667,5888.35,Puerto Rico
44,65.75,9.0,21.5,0.0,160.08333333333331,33.33333333333333,44.33333333333333,6.0,5.5,20.416666666666664,0.0,25.416666666666664,13.0,6.25,13.0,398.4166666666667,111.66666666666667,Saint Kitts and Nevis
45,137.33333333333331,7.666666666666667,31.333333333333336,1.0,421.6666666666667,93.33333333333334,92.16666666666667,17.666666666666664,14.5,38.333333333333336,3.0,50.66666666666666,21.0,27.333333333333336,38.0,1227.0,288.1666666666667,Saint Lucia
46,121.53333333333333,6.5,32.333333333333336,2.0,376.4666666666667,84.16666666666667,78.55000000000001,11.0,12.25,29.566666666666666,5.0,31.599999999999994,22.75,34.266666666666666,16.2,1007.5,259.1333333333333,Saint Vincent and the Grenadines
47,217.5,15.0,47.5,1.0,916.0,210.5,169.0,36.5,20.0,120.0,16.5,123.0,49.0,327.5,78.5,3379.5,493.5,Suriname
48,12.333333333333334,4.0,4.0,0.0,49.0,11.166666666666668,6.0,1.0,0.0,3.0,0.0,3.0,1.0,6.0,19.5,95.33333333333333,26.666666666666664,Turks and Caicos Islands
49,117994.75,142567.18333333335,185456.39999999997,161.33333333333331,829030.5333333333,267115.23333333334,103589.54999999999,4749.133333333333,13745.366666666667,68357.31666666668,1237.1166666666668,11732.8,9969.916666666668,33682.03333333334,39890.3,2769410.6666666665,620646.1166666666,United States of America
50,51.16666666666666,27.666666666666664,53.833333333333336,0.0,241.16666666666666,33.5,39.83333333333333,4.0,9.5,29.166666666666668,0.0,10.0,2.0,33.0,27.0,692.8333333333334,167.5,Virgin Islands (USA)
51,1284.2166666666667,1001.6833333333333,1319.6499999999999,3.666666666666667,9144.583333333332,3532.0166666666664,1378.0333333333333,162.7,323.68333333333334,1108.0666666666666,29.233333333333334,190.10000000000002,228.86666666666667,2825.6,558.05,33800.36666666666,8610.95,Uruguay
52,13461.5,31.5,2577.5,5.0,47914.5,11550.0,6590.0,20.5,562.5,2926.0,494.0,5484.5,2502.5,749.5,6940.0,162491.0,26559.5,Venezuela (Bolivarian Republic of)
53,499.0,15.0,54.0,2.0,865.5,94.0,62.0,14.5,19.5,68.5,6.0,69.5,66.5,296.0,87.5,2692.0,341.0,Bahrain
54,397.66666666666663,40.5,110.0,1.0,823.3666666666666,291.29999999999995,120.99999999999999,36.83333333333333,55.83333333333333,89.46666666666667,6.0,93.91666666666667,98.0,73.83333333333333,74.33333333333333,1779.8666666666666,735.3333333333334,Brunei Darussalam
55,690.45,287.76666666666665,393.43333333333334,6.0,2990.883333333333,826.0333333333333,427.33333333333326,69.23333333333333,95.2,371.4166666666667,3.0,49.63333333333334,57.91666666666667,262.0,131.65,8995.133333333335,2373.9500000000003,Cyprus
56,586.9666666666666,1237.7333333333333,451.0666666666667,6.25,10108.216666666667,10214.916666666666,1611.4333333333334,195.25,212.1,2274.3500000000004,4.0,63.98333333333333,118.10000000000001,1438.8333333333335,193.41666666666669,47068.74999999999,14623.416666666664,Hong Kong SAR
57,15204.583333333334,2066.25,6085.75,160.16666666666666,127376.16666666666,18942.333333333332,7331.25,827.8333333333334,1112.1666666666667,6889.416666666667,138.58333333333334,10513.833333333332,4956.666666666667,16936.25,15249.416666666668,306866.99999999994,45631.00000000001,Iran (Islamic Republic of)
58,4114.0,34.5,2211.0,11.0,42972.5,3677.0,1535.5,61.0,69.5,7360.0,94.0,8449.0,3219.5,9821.0,1919.0,122875.5,10758.5,Iraq
59,3288.7333333333336,1753.7500000000002,1725.7166666666667,13.85,10541.716666666667,3659.983333333333,1567.5666666666666,582.7,386.9666666666667,2225.2500000000005,26.016666666666666,317.96666666666664,396.26666666666665,2614.1666666666665,376.4,46039.31666666668,12031.616666666667,Israel
60,40049.58333333333,20244.55,71214.23333333334,59.483333333333334,691246.6166666667,387877.2833333333,101537.78333333334,4403.366666666667,15884.666666666668,70251.46666666666,107.00000000000001,1034.0666666666666,4160.716666666666,116754.08333333334,10292.666666666666,1356220.35,729692.6166666667,Japan
61,1550.0,3.0,370.0,1.0,7522.0,1153.0,663.0,39.0,45.0,708.0,38.0,811.0,695.0,237.0,675.0,19723.0,3262.0,Jordan
62,316.7666666666667,76.25,96.13333333333334,0.0,2613.8,530.0833333333333,243.46666666666664,7.75,29.1,122.4,16.666666666666668,274.8,277.6333333333333,123.9,540.2833333333333,6632.35,1040.6833333333332,Kuwait
63,377.0,46.5,297.5,5.0,5261.0,1482.5,480.0,71.0,47.5,850.0,9.0,390.5,168.0,1671.5,122.5,16312.0,3410.0,Lebanon
64,1138.0,18.0,1093.5,9.0,20516.0,13555.5,3241.5,838.0,608.5,3102.0,122.5,1231.5,1030.5,2624.0,4456.0,82894.0,11038.5,Malaysia
