Country,Obesity,Undernourished,Population,Annual Average Temperature,Max Latitude,Min Latitude,Max Longitude,Min Longitude,HDI Rank,hdi_2016,hdi_2017,hdi_2018,hdi_2019,gdp_2016,gdp_2017,gdp_2018,gdp_2019,code,"Population,Total Population - Both sexes",WHO code,FAO code,Winter Average Temperature,Spring Average Temperature,Summer Average Temperature,Autumn Average Temperature
New Caledonia,0.3424573064198359,0.0805604203152364,0.0001718567157111,0.8671928699887763,0.09672030247076402,0.2991779930007324,0.9774072387889824,0.97598984185617,0.462467843326886,0.6430302618257164,0.6384234895907429,0.6392750084068672,0.6428738155469951,0.6336354595534991,0.7548223933473932,0.8081678144359803,0.8499218582628668,0.3212659251901565,0.00015393819853846668,0.4475906992286154,0.3396619132366752,0.9289897903040304,0.7410501583904567,0.6131653309722188,0.8892319153193853
New Zealand,0.6814988290398126,0.0,0.0035177144340387,0.6077152702341762,0.1895717928426976,0.0559127533165133,0.9966992943318916,0.0058871060833429,0.0691489361702127,0.9545454545454548,0.9507042253521129,0.9504424778761064,0.9538188277087036,0.6583850931677018,0.75,0.7889273356401384,0.8378378378378379,0.9864188706218728,0.0031873036615759,0.9864188706218728,0.4428571428571429,0.7486492784042564,0.44351763707704733,0.29164095262532447,0.6812744846129313
Nicaragua,0.4426229508196722,0.2539404553415061,0.0046650897683927,0.9395202803981916,0.3968170227732348,0.5711727842435094,0.2524186205326656,0.2663915502712687,0.6755319148936171,0.4877622377622379,0.4841549295774645,0.4743362831858408,0.4724689165186503,0.6708074534161489,0.7807692307692308,0.5397923875432525,0.7004504504504505,0.3168930188229688,0.0043256174127057,0.3168930188229688,0.4457142857142857,0.9336461500070491,0.8452036910635048,0.7606189177615185,0.9351737982282674
Niger,0.0421545667447306,0.2451838879159369,0.0172106300153102,0.9676816389573468,0.4714675107711246,0.5792300805729632,0.533263145913954,0.5198834122128594,1.0,0.0,0.0,0.0,0.0,0.7049689440993787,0.7961538461538461,0.9273356401384084,0.9211711711711712,0.0762449368596616,0.014351548385359469,0.0762449368596616,0.44857142857142857,0.8774374673238565,0.9563319927801266,0.8707305006827771,0.9178280480179216
Nigeria,0.1147540983606557,0.19089316987740804,0.1469595979836429,0.9583756531735892,0.3867053547876551,0.5187596646862537,0.529564079216936,0.5271557197275771,0.8510638297872339,0.2587412587412589,0.2552816901408451,0.2530973451327434,0.2575488454706928,0.4782608695652173,0.6346153846153846,0.7439446366782007,0.8378378378378379,0.0786275911365261,0.12863297376360208,0.0786275911365261,0.4514285714285714,0.9627463502849105,0.8817857371180363,0.7444163632060771,0.9491654538775883
Norway,0.5175644028103045,0.0,0.003802953796215,0.3968922662731842,0.9748527213576011,0.0407748026369333,0.5835419986341908,0.4931317095694333,0.0,1.0,1.0,1.0,1.0,0.5621118012422359,0.6923076923076923,0.7231833910034602,0.8153153153153154,0.764832022873481,0.0035957902251948664,0.764832022873481,0.46,0.3752231915600636,0.3461937796901245,0.349003940438317,0.40427081937981213
Oman,0.468384074941452,0.0753064798598949,0.003322325470948,0.9675220580329732,0.4967027169612239,0.619435175388622,0.658092419758707,0.6694563084381855,0.3138297872340426,0.763986013986014,0.762323943661972,0.7469026548672565,0.7442273534635878,0.6801242236024844,0.6153846153846153,0.7093425605536332,0.7702702702702703,0.5420538479866571,0.0030570295018350663,0.5420538479866571,0.6285714285714286,0.8658893540284134,0.9432909512365372,0.8995206417182059,0.9212193864751659
Pakistan,0.1147540983606557,0.3117338003502627,0.1575134543841646,0.8291022090029756,0.5904334828101644,0.6768128916741271,0.7070623719553835,0.6950248181923122,0.8138297872340425,0.2867132867132869,0.2887323943661972,0.2849557522123894,0.2895204262877443,0.6708074534161489,0.8038461538461539,0.8685121107266436,0.8310810810810811,0.5432451751250893,0.1408558632027546,0.5432451751250893,0.4685714285714286,0.7157129721697232,0.8437599400327552,0.8000257757652314,0.7648561054935955
Panama,0.4590163934426229,0.1313485113835376,0.0030156931566085,0.943466120244388,0.3493361470148597,0.5426873931797834,0.2682676986114272,0.2797818307745585,0.2978723404255319,0.7465034965034967,0.7482394366197183,0.7451327433628321,0.7477797513321492,0.6832298136645961,0.8192307692307692,0.8062283737024221,0.8558558558558559,0.3192756730998332,0.0027574850064997327,0.3192756730998332,0.4714285714285715,0.94871632732458,0.837505869101595,0.7587684413233619,0.941163539193938
Paraguay,0.3770491803278688,0.1436077057793345,0.0051350216175781,0.8821430396361942,0.0950496790644508,0.2594612191747375,0.3334566355565672,0.3386528916079881,0.5425531914893617,0.6013986013986015,0.5985915492957745,0.5946902654867258,0.5932504440497336,0.6614906832298135,0.7961538461538461,0.7958477508650519,0.7882882882882883,0.3216583273766976,0.004653453829892199,0.3216583273766976,0.48,0.9525314673770424,0.6986469619192553,0.618670526740062,0.9463626003660329
Peru,0.3793911007025761,0.1260945709281961,0.0233682347462902,0.8092769388316646,0.2643981359359888,0.3347440384145845,0.2923969952196676,0.2847166108738313,0.4148936170212766,0.6765734265734267,0.670774647887324,0.6725663716814158,0.680284191829485,0.6552795031055899,0.7,0.8166089965397924,0.8378378378378379,0.3240409816535621,0.021374274381322538,0.3240409816535621,0.4828571428571429,0.8482516120491571,0.6846347736081076,0.592207574423547,0.8411451462911602
Philippines,0.072599531615925,0.1891418563922942,0.0781035290526987,0.9509414387977336,0.4503648993229578,0.5219337511190689,0.8481106305485999,0.8569490938473971,0.5638297872340425,0.5699300699300702,0.566901408450704,0.5663716814159291,0.5754884547069271,0.7484472049689439,0.8692307692307693,0.8961937716262975,0.9234234234234237,0.5456278294019538,0.07167239793213291,0.5456278294019538,0.4857142857142857,0.9364845432842778,0.8561632464480144,0.7739250181929092,0.9533957538994269
Poland,0.531615925058548,0.0,0.0273216523060532,0.5629200987983235,0.7468565901697002,0.8827215756490601,0.5565103573867516,0.5601985455384971,0.1808510638297872,0.8583916083916086,0.857394366197183,0.8601769911504425,0.8632326820603909,0.6242236024844721,0.7923076923076923,0.86159169550173,0.8806306306306306,0.7672146771503455,0.02624976295732333,0.7672146771503455,0.4914285714285714,0.49170770972575734,0.5461435172190638,0.5400361547661333,0.5369650231483428
Portugal,0.4754098360655738,0.0,0.0072743168339001,0.7025010199477768,0.6352765321375187,0.7284121429152762,0.4701513771909857,0.4291815768209628,0.1968085106382978,0.8339160839160842,0.8309859154929577,0.8300884955752214,0.8348134991119008,0.5900621118012421,0.7384615384615385,0.7681660899653979,0.8378378378378379,0.7695973314272099,0.007109575781070802,0.7695973314272099,0.4942857142857143,0.6600307250151106,0.624914374548395,0.6419422502128249,0.6929124860595963
Republic of Moldova,0.4028103044496487,0.07150594090348901,0.0024822955493389,0.5982729152968633,0.6910225973797591,0.8539920240905021,0.5735545185522422,0.5962714994805496,0.4734042553191489,0.6293706293706294,0.6285211267605633,0.6283185840707964,0.6323268206039078,0.6645962732919253,0.7846153846153846,0.8166089965397924,0.8693693693693694,0.7743626399809388,0.0027770405878283,0.7743626399809388,0.4142857142857143,0.4943376030946402,0.6049356417167412,0.6169442288133814,0.5483048065252293
Romania,0.5058548009367682,0.0,0.0136822191051898,0.5921453301866341,0.6890881913303438,0.8392610075689753,0.5723309811063054,0.5778598637885259,0.2553191489361702,0.7727272727272727,0.7658450704225351,0.7646017699115043,0.7708703374777975,0.6770186335403725,0.8769230769230769,0.8304498269896193,0.8806306306306306,0.7767452942578031,0.013657822401914368,0.7767452942578031,0.52,0.5071509404296145,0.5803628848730465,0.5907571189378105,0.5535744688064269
Russian Federation,0.5339578454332552,0.0,0.1045965610116299,0.2936553364747672,0.9832058383891672,0.8192398469927564,1.0,0.0,0.2712765957446809,0.763986013986014,0.7640845070422535,0.7646017699115043,0.7637655417406751,0.5341614906832297,0.673076923076923,0.7647058823529411,0.8175675675675677,0.7772218251131761,0.10046616729504666,0.7772218251131761,0.5257142857142857,0.15876615832365717,0.37794275894302914,0.409445178243052,0.21112383584866737
Rwanda,0.0444964871194379,0.6007005253940455,0.0091975432333735,0.8013273909050802,0.2553415985228172,0.4609750142426955,0.5757170498520373,0.6027357728269653,0.8457446808510638,0.2604895104895106,0.2623239436619719,0.2637168141592921,0.2646536412078152,0.7142857142857142,0.7576923076923077,0.9757785467128026,1.0,0.0857755539671193,0.008039667891002867,0.08577555396711929,0.5228571428571428,0.8327840923549679,0.6820856706669667,0.6081544057407721,0.8214126747337573
Saint Kitts and Nevis,0.4730679156908666,0.0966618556898766,0.0,0.9472472209949179,0.4178317066737009,0.6231789696427118,0.3098679717732756,0.3380468659817616,0.3882978723404256,0.6870629370629371,0.676056338028169,0.6761061946902654,0.6838365896980464,0.6149068322981365,0.5269230769230768,0.7785467128027681,0.8513513513513514,0.3276149630688587,0.0,0.3276149630688587,0.5342857142857143,0.9261610312374353,0.8341075531976876,0.7912007567459294,0.9590061447012341
Saint Lucia,0.3957845433255269,0.0936512047659158,9.127659589640392e-05,0.9550268716545433,0.3887276883847709,0.595588833726703,0.3145913954017755,0.3431836546231098,0.4521276595744681,0.653846153846154,0.6566901408450705,0.6495575221238941,0.6483126110124334,0.6459627329192545,0.7384615384615385,0.7681660899653979,0.8265765765765767,0.3311889444841553,8.88387646187688e-05,0.3311889444841553,0.5371428571428571,0.9368793448204996,0.8450635230460076,0.7915796428834699,0.9642001759110368
